position,title,description,url
0,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #1,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=R7qLPOeP7L0
1,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #2,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=imA-wWuX3LY
2,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #3,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=0wvXEm_6rZw
3,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #5,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=0QzEh3H5aPE
4,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #6,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=kTwNxHbz6sQ
5,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #7 - Back from Dogma,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=vGZ9jYV_Hys
6,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #8 - Belurat Gaol,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=szi6GNWzjdE
7,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #9 - Belurat Gaol Finale,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=I-GuCNryUdg
8,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #10 - Belurat Tower Settlement,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow. 10:13 Ready with new equipment  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=H8x_IluNQZc
9,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #11 - Belurat Tower Settlement 2,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=qHr-gZZgsUQ
10,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #12 - Belurat Tower Settlement 3,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=M2fPV8dZMk0
11,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #13 - Belurat Tower Settlement 4,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=b4xzFjwK3wY
12,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #14 - Belurat Tower Settlement 5 - Done?,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=w4YG5UAmpbU
13,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #15,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=e6PQ1HkH440
14,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #16 - Prospect Town,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=kyH6Y2yHbuM
15,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #17 - Ghostflame Dragon,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=z9HGV5KvMBg
16,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #18 - Ellac Great Bridge,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=Wk72Bsdb35o
17,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #19 - Fog Rift Catacombs,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=JLduHGq3C3g
18,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #20 - Fog Rift Catacombs 2,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=EEfmX3pr4Dc
19,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #21 - Fog Rift Catacombs 3 and Castle Ensis,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree   Build link on EIP Elden Ring Build Planner: https://eip.gg/elden-ring/build-planner/?buildId=clzu9ta3100bcd4lmpuc3mr4z,https://www.youtube.com/watch?v=58E26RymHs4
20,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #22 - Castle Ensis,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree   Original Build link on EIP Elden Ring Build Planner: https://eip.gg/elden-ring/build-planner/?buildId=clzu9ta3100bcd4lmpuc3mr4z  Reborn Build link on EIP: https://eip.gg/elden-ring/build-planner/?buildId=clzuae4rt00bwd4lmp2rj8s4s,https://www.youtube.com/watch?v=ANELEoyvxcI
21,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #23 - Castle Ensis 2,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree   Original Build link on EIP Elden Ring Build Planner: https://eip.gg/elden-ring/build-planner/?buildId=clzu9ta3100bcd4lmpuc3mr4z  Reborn Build link on EIP: https://eip.gg/elden-ring/build-planner/?buildId=clzuae4rt00bwd4lmp2rj8s4s,https://www.youtube.com/watch?v=FHMlgP_lBaw
22,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #24 - Castle Ensis 3,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree   Original Build link on EIP Elden Ring Build Planner: https://eip.gg/elden-ring/build-planner/?buildId=clzu9ta3100bcd4lmpuc3mr4z  Reborn Build link on EIP: https://eip.gg/elden-ring/build-planner/?buildId=clzuae4rt00bwd4lmp2rj8s4s,https://www.youtube.com/watch?v=3BXSu9zCl7M
23,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #25 - Castle Ensis 4 - Rellana Fight,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree   Original Build link on EIP Elden Ring Build Planner: https://eip.gg/elden-ring/build-planner/?buildId=clzu9ta3100bcd4lmpuc3mr4z  Reborn Build link on EIP: https://eip.gg/elden-ring/build-planner/?buildId=clzuae4rt00bwd4lmp2rj8s4s,https://www.youtube.com/watch?v=umpxoeeUQU8
24,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #26 - Ruined Forge of Starfall Past,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree   Original Build link on EIP Elden Ring Build Planner: https://eip.gg/elden-ring/build-planner/?buildId=clzu9ta3100bcd4lmpuc3mr4z  Reborn Build link on EIP: https://eip.gg/elden-ring/build-planner/?buildId=clzuae4rt00bwd4lmp2rj8s4s,https://www.youtube.com/watch?v=Um6fnTMa7hA
25,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #27 - Ruined Forge of Starfall Past 2,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree   Original Build link on EIP Elden Ring Build Planner: https://eip.gg/elden-ring/build-planner/?buildId=clzu9ta3100bcd4lmpuc3mr4z  Reborn Build link on EIP: https://eip.gg/elden-ring/build-planner/?buildId=clzuae4rt00bwd4lmp2rj8s4s,https://www.youtube.com/watch?v=A1Up1Ssi7S8
26,LP - Elden Ring NG+ PC - Shadow of the Erdtree - #28 - Moorth Ruins,Join Grayworm as he follows in Miquela's footsteps In Pursuit of the Realm of Shadow.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree   Original Build link on EIP Elden Ring Build Planner: https://eip.gg/elden-ring/build-planner/?buildId=clzu9ta3100bcd4lmpuc3mr4z  Reborn Build link on EIP: https://eip.gg/elden-ring/build-planner/?buildId=clzuae4rt00bwd4lmp2rj8s4s,https://www.youtube.com/watch?v=IEcDQJbTNmY
