position,title,description,url
0,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #1,Missed Catacomb - Tombsward Catacombs and Miranda Blossom Boss plus Miranda Sprout Ashes  https://scripterswar.com/EldenRing/completion#  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=wJliRNtjg1s
1,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #2,Missed Weapon - The Gelmir Hero's Grave and Ringed Finger  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=vjH04LFV11Y
2,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #3,Missed Rune Activation - Trying to find the Isolated Divine Tower and activate Melania's Great Rune  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=XNbMJjhPTFQ
3,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #4,Missed Rune Activation - Mohg - Missed Grave - Giant Conquering Hero's Grave in Full  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=JgIS6dZNIa0
4,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #5,Missed Catacombs - Consecrated Snowfield Catacombs  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=fYrGWkGhKo0
5,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #6,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=yNoJxY8uaC0
6,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #7,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=E1AvMYXBtkI
7,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #8,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=bPsG-LMzeZo
8,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #9,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=FnMqQ8qDIhQ
9,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #10,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=SAfBkoeVeg8
10,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #11,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=wjXL_N0_SMA
11,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #12,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=QTy7hXnG4uY
12,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #13,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=-xX3DZHSyQM
13,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #14,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=9HJxCbJ-kcA
14,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #15,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=gxlDKvF_PZI
15,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #16,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=O223Ednrp7M
16,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #17,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=1bkRM3EFQZo
17,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #18,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=jcu9ZLHJVuY
18,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #19,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=4P12MRydlvo
19,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #20,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=bdKBf5-YJZI
20,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #21,Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=cN8ZFgdgygg
21,Let's Play - Elden Ring PC - Loose Ends in the Lands Between - #21,Grayworm Begins Journey 2 (New Game+) Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=qiyhv5MBdCg
22,Let's Play - Elden Ring PC - Grayworm's NG+ - #1,Godrick.  Check out these channels: @BlueLizardJello @preacherplays @DomsRoundtable​ #eldenring #eldenringdlc #shadowoftheerdtree,https://www.youtube.com/watch?v=9-y6iTsfcK4
