position,title,description,url
0,Let's Try - Elden Ring PC #1,"Let's _try_ because, man...the stuttering and frame drops are real!  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay",https://www.youtube.com/watch?v=yZK3HDXrMQA
1,Let's Try - Elden Ring PC #2,"The stuttering hasn't stopped, but the person I made this video for (hi Alex) said they enjoyed it enough to want to see more.  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay",https://www.youtube.com/watch?v=fhtbJ-XI9CI
2,Let's Try - Elden Ring PC #3,Somehow the frame drops are getting worse.  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=Vigw0aXhsgU
3,Let's Try - Elden Ring PC #4,"This is going to be the last video until either I fix it, or From Software patches the game, I just can't play like this. Driving me nuts.  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay",https://www.youtube.com/watch?v=7ZO1tJcxvt8
4,Let's Play - Elden Ring PC #5,"Patch v1.0.4 seems to have fixed the issues I was having.  Other things I did:  - Update my BIOS (it was a few versions behind) - Update my video driver to latest Game Ready one - Disable power management on every USB device everywhere - Disable USB Selective Suspend setting - Modify game settings so that it could ""automatically choose quality""  This might be OK now. Let's find out together I guess.  If the stutters return as bad as they were before, mission will be aborted. Otherwise, this will hopefully be a fun LP.  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay",https://www.youtube.com/watch?v=hR0Z0chLFGI
5,Let's Play - Elden Ring PC #6,"Continuing where we left off in the Limgrave Tunnels, we quickly change our plans, as I babble about random things.  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay",https://www.youtube.com/watch?v=_bcnMdLtXcA
6,Let's Play - Elden Ring PC #7,"*facepalm*  The first half of this video is missing because I forgot to switch to the game source in OBS. I explain this in the video.  The last half includes the boss fight. Luckily when I had an issue with the XBox controller disconnecting I did switch back to the game... :D  BUT!  We do clear out Stormfoot Catacombs, and take on the creepy cat boss.  Anyway... sorry.  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay",https://www.youtube.com/watch?v=jeB94XwoTjs
7,Let's Play - Elden Ring PC #8,What folly. smh  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay,https://www.youtube.com/watch?v=EAr1Ww_otc8
8,Let's Play - Elden Ring PC #9,"Still experiencing a little technical difficulties. I'm not sure WTF is going on, but I managed to at least clear out a dungeon.  Thanks for watching and for your patience.  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay",https://www.youtube.com/watch?v=Gk2CD_ReQjs
9,Let's Play - Elden Ring PC #10,"OK so we are at episode 10. I'm running into issues here and there, but this seems like it will stabilize. I am sorry for the video quality of this episode because I was trying new settings in OBS.   I was using what I thought was 8000 Kbps for recording, but I had modified the Streaming tab, not the Recording one, so yeah.  I finally settled on 12000 Kbps. That seems like a good CBR for not eating my entire disk and still making the videos look nice.  Also I figured out the darkness issue - it was the color range in OBS. Man! We'll get it yet.  Check out The Preacher Plays Elden Ring Blind LP: https://www.youtube.com/playlist?list=PL3i528PCsSRMiIxmBmfDTJrbSCtyVBYOA   Check out BlueLizardJello Elden Ring Blind LP: https://www.youtube.com/watch?v=50AwrX_t1Ig&list=PLcdPu6JrcV8QWKcMARNyRjvhitTxxp5Mh #eldenring #eldenringgameplay",https://www.youtube.com/watch?v=tz6a5pwxwro
